0	J’ai prit du Xanax entre amis et je ne pense plus à rien
0	@username Elle va ressortir médicamentée de l'hp sous prozac, limite j'ai de la peine pour elle. Je justifie pas son geste mais la go elle s'est excusée et les gens l'ont mis à terre limite sous terre, personne n'est parfait pas la peine de faire les grands moralisateurs, peace all.
0	Ils ont tous des belles histoires à raconter du style "Ma mère est décédée récemment"     #Prozac  #AffaireConclue
0	J'ai pris un Xanax le samedi à 12H. À 15H, à la salle de sport, j'ai jamais eu aussi d'énergie de toute ma vie... J'ai enchaîné les dips comme jamais. link
0	j’ai juré elle abuse faut une ventoline pour lire son tweet link
0	@username Effexor XR
0	mon père il vient dme filer de la cortisone c le stade au dessus de la ventoline la wsh adieu tout le monde
0	Je repose ça là. Ça en dit long sur le sérieux de l’#AFIS. #Levothyrox #glyphosate #Lyme. Poke @username link
0	@username je trouve monsieur Schneider un tantinet agressif. Avez-vous du Xanax à lui donner?
1	Vous vous rappelez de ce tweet? En fait la Venlafaxine (mon traitement) créer une hypersensibilité à la caféine et j'avais oublié, ça fait qu'une heure que je vais mieux donc ça faisait 5 HEURES que mon corps était en angoisse/tachycardie  
1	@username @username @username Il a juste créé une addiction au xanax qu’il aille se faire foutre
0	PPPPPTTDDRR Même Les Charos Ils Ken Pas Les Prostitué(e)s Je Pleure Comme Elles Sont Contaminées Elles Sont Piquées A La Morphine et Les Charognards Peuvent Pas Les Devorer Satan S’En Occupe
0	@username @username @username @username Je pense que ça fait 100 ans qu’il ne joue plus, et qu’il faut lui laisser le temps. Si tu vas voir le Melo Monday, tu verras qu’il a signé presque du jour au lendemain. Laissez le revenir ! Wesh il a même pas le droit à un coup de ventoline. Vous êtes des DETRAQUEURS !
0	Il est injuste qu'une préposée au privé doive distribuer la médication et donner certaines injections en ayant suivi dans bien des cas une seule journée de formation. Le but étant les économies pour le gestionnaire. Au public il est interdit de donner ne serait-ce qu'un Tylenol.
0	J'en ai marreee moiiii, sinop nik toi sah jtm pas, t bg mais jtm pas pelo link
1	@username De rien   oui effectivement c'est triste à dire mais on apprend à vivre avec. Ah oui le xanax je connais, j'ai du en prendre pendant un moment mais j'ai du arrêter... je devenais accro et ça me shootait trop...
0	La LU UpGrade officielle est composé de:  @username Support / Proxy @username Capitaine LIG et Hard breacher/ BP  @username Support / BP @username Entry fragger / roamer @username Flex / proxy Et notre PU LoSeC. link
0	Itw N Authier dans @username sur #cannabis à visée thérapeutique: “Aucun autre médicament en France ne sera prescrit avec autant de précautions. Il sera plus compliqué de prescrire du cannabis thérapeutique que de la morphine” link
0	@username Onfi Demaci
0	@username zéro viagra     
0	ça me propose des sorties xanax je suis dépassée mdrr
1	1 variation de l'absorption-diffusion de la lévothyroxine du nouveau #Levothyrox constituerait 1 stress physiologique perturbant l'équilibre thyroïdien. Cela expliquerait la fréquence des symptômes, y compris à bilan thyroïdien normal. link
0	#Levothyrox : «On ne sait toujours pas pourquoi les gens ont été aussi malades», Le Parisien : link
0	J'ai l'impression de regarder un épisode de Demain Nous Appartient tourné sous Prozac  #LeBazarDeLaCharité
0	J’avez rendez-vous avec mon psy prescriteur pour mon Xanax mais c’est de l’Abifay qu’il m’a prescrit : il pense que je suis schizophrène
1	(PS : xanax,  pas facile de s'en débarrasser, mais 18 mois c'est par exp.,  je le crois, un délai très normal, dc bravo)
0	@username @username j'ai laissé 2h un tweet à la fin du thread laissant ton @ en attendant une réponse de ta part quand même, voyant aucune réponse j'ai supprimé le tweet en pensant que t'avais (ou pas) Ray Charles mais bon pas grave dans tous les cas tu passes pour un con avec ton histoire de xanax
0	@username Rien à voir, crise d'angoisse, je suis sous Xanax   ️
0	A ne lire que si on est un indéboulonnable positiviste, un j'membalec confirmé, un socialiste dogmatique (pléonasme) ou un macroniste touché par la Lumière. Pour les autres, prévoir une tisane, 2 Valium et de la Ventoline... link
0	Le dernier épisode de notre podcast est sorti hier !  On y parle de #LaBelleEpoque, du dernier album de @username et de #LaMachinedeTuring.  Gardez la pêche    #IPFMimes  Episode 7 – Une Epoque, un Xanax et une Enigme épisode de Intégralement Pas Filmé link
0	@username la dernière fois j’ai pris du tramadol ça m’a assommée jss trop faible pr ce genre de médicaments  
0	@username @username Je prends la Fluoxetine pour la dépression à la base... peut-être pour ça qu'on est pas passé à autre chose
0	#Levothyrox #NoNocebo Les victimes de la nouvelle formule -si certaines ont la chance d'avoir trouvé aujourd'hui 1 alternative satisfaisante- gardent 1 traumatisme moral de ce déni de leurs souffrances. Primum Non Nocere - D'abord, ne pas nuire ? Raté. link
0	jv reprendre de la ventoline quand meme
0	@username Moi c'est par rapport à la Venlafaxine surtout !
0	@username @username @username Mdrrr je comprend pas pk tu es aussi méchant tu as un problème ac l’islam tt simplement détend toi y’a une forme de haine et de jalousie en toi prend un xanax et détend toi je t’invite à lire correctement
0	@username @username Teuteu. On mélange pas les deux. Le whisky ou le xanax ! Meme si je crois que vu ta/tes soucis.. ça risque rien  
1	J'ai un handicap qui m'empêche de conduire car il entraîne entre autre une mauvaise coordination et une impossibilité d'évaluer les distance...de plus je suis sous abilify qui est un médoc qui entraîne des somnolences ... ton validisme tu peut te le garder
1	Ca a l'air d'être un délire de truc.   Genre 0 absolument 0 effets secondaires , pas de tachycardie ou d'effets psychoactifs indésirables comme sur le ritalin / adderall link
0	@username Je suis sûr quand il chantait et qu'il a dû prendre de la ventoline il a dû être blasé un instant
0	@username oublie pas ta ventoline hein
0	@username @username en PLS elle cherche sa ventoline miskine cette punchline ça doit être dur à encaisser
0	@username C'est corélé avec le prozac. C'est l'éloge du suicide. C'est un comportement de lemming et de BOBAC. Serait-ce lié avec un génocide ?
0	@username Et puis septembre de cette année (j'ai 15 ans) j'ai eu fluoxetine (Prozac) mais on m'a fait arrêter donc j'ai plus rien et c'est l'enfer  
0	Comment #PurduePharma a mis en oeuvre un plan de communication pour désinformer sur la crise des #opioids engendrée par son produit vedette l'#OxyContin link
0	Jsuis outrée. Je suis en accident de travail depuis une semaine, l’hôpital m’a donne du tramadal pendant une semaine. Je vais renouveler l’arrêt chez mon généraliste et il me change le tramadol par du doliprane. Et me dit que ça va passer vite en 1semaine avec doliprane
0	j’ai envie de crever quelqu’un alors que c’est entièrement d’ma faute j’ai qu’a m’crever moi meme connasse t asthmatique tu pars pas avec ta ventoline et en plus tu tweet au lieu d’essayer de respirer convenablement ptite pute
0	Y a rien qui va dans cette video ou est ma ventoline ??
0	@username La demi-vie du xanax est longue (jusqu'à 28h je crois) et est + ou - aléatoire selon le métabolisme de la personne.... on peut pas raisonnablement te dire que c'est 100% safe de boire "quelques heures après la prise". Donc dans un monde idéal, bois sans prendre de xanax
0	LE DENI DE LA MORT ?: La metformine est un médicament courant, bon marché, et dont certains chercheurs soupçonnent qu’il pourrait avoir un effet positif global sur le vieillissement. Plusieurs essais sont en cours … @username link
1	Update très sérieux par pitié les gens qui ont de l’anxiété si votre médecin vous prescrit du xanax que ce soit en 0,25 ou 0,50 refusé on devient rapidement accro et ça n’arrête pas du tout l’anxiété ça l’empire à un point inimaginable (c un constat personnel)
0	@username C’est quoi ce Flo sous Xanax là
0	@username @username Que de vessie? Y a le reste aussi. Pub pour Fuca, Imodium, ...
0	La perte de confiance des citoyens. Les risques médicamenteux pendant la crise de la thalidomide en Allemagne de l’Ouest, 1962 link link
0	#Levothyrox Voix des malades ignorée, crise sanitaire amplifiée @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username
0	#Axena : Outils de transition digitale Avec l’outil #XPPS votre parc est sous contrôle continu. Un gain de temps énorme pour le service informatique et pour les utilisateurs.  link  #Axena #Villeurbanne #Ain #Rhône link
0	@username Des chèvres. Le troupeau de chèvres le plus cher de la planète. Tous les ans le mm cirque... sérieux t’as pris ton prozac et ton rdv chez le psy? Parce que là ça va être compliqué  
1	bonjour a TOUS jai decouvert que je perdais la vue grace o PROZAC du coup je chouine et la reaction de mes proches cest FALLAIT PAS PRENDRE DANTIDEPRESSEURS PETASSE et je COMPRENDS VOTRE POINT DE VUE MAIS ALLEZ VOUS FAIRE FOUTRE SI VOUS LISEZ CA VOUS PREFEREZ QUE JE ME TUE OU QUO
0	Metformin Vente Libre Quebec | Meilleurs prix | Pharmacie Saint-raphaël link link
1	J’ai pris du xanax, j’ai archi sommeil mtn alors que j’ai un partiel dans une heure  
0	@username @username @username Met toi de la ventoline dans le fion
0	@username il me reste encore qq cpmes de prozac j'envoie inbox ou bien? Si tu continue avec les sao tu vas y laisser ta santé
0	Après mon rdv médical je vais bedave toute la journée vous êtes des oufs 2 xanax/j c pas assez
0	@username Un autre petit prozac peut être ......   
