class	tweet
0	ЭХ ЩА БЫ ЦИПРОФЛОКСАЦИН КУПИТЬ ЗА 36 Р
1	@moon_out @Zverovski рексетин курсом ебошить надо и он рецептурный, перед его приёмом надо к психиатру сходить. да, и он больше эйфорических ощущений принесёт, а не успокоения, обратный же захват серотонина, вся хурма.
0	"мне бы сейчас баклофен и я бы наглоталась,но Лиза рассказала мне про то,что другой жизни нет.Я не хочу !" такая гордость за себя
1	За выходные долечилась, убралась в квартире и в клетке у крыс, съездила на дачу, сходила в магазин, приготовила еды и СРАЗУ после готовки помыла посуду. Флуоксетин заебись!
1	@VStativ @AlenaSvetoch и кстати - на прошлой неделе купила наш заменитель серетида - сердце заходится просто!! А от французского препарата было норм! Ну и покупала бы францию скажете вы. нет такой возможности! Его просто нет в аптеках! А если есть у меня на него денег не хватает!
0	Дети с флуоксетином в кармане нервно курят в стороне
0	Молодой и талантливый эмо-рэпер Lil Peep так и не смог смирится со смертью своего главного кумира писателя-сатирика и юмориста Михаила Задорнова. Музыкант принял убийственный коктейль из наркотиков, ксанакса и снотворного и скончался от передозировки.
0	о, он когда-то был одним из вариантов что мне пить, но венлафаксин помог раньше
1	50.5 - спасибо Прозаку. Но остальные побочки выбешивают, где мой сон до вечера, встаю в 4 утра, каждый день, Карл.
0	такая гадость этот ваш аддерал
0	В спектакле-продолжении «Гарри Поттера» Гермиона — негритянка. Подозреваю, что ещё и беженка-трансгендер с пачкой прозака в кармане.
0	С 2007 на флуоксетине-флуксене . Сдаётся мне - не помогает .
1	Блд. Какой паксил? Это ж антидепрессант. Ненене. Мне просто от тупости мозга нада) фенотропил -хорошо помогает, но после пары дней придётся успокоительные пить, он очень нервирует меня)
0	Лучшие антидепрессанты: Флуоксетин Рексетин Пьяненькой поорать песни Меладзе
0	пей жидкость. Пей лоперамид, если снизу течь. Пей кишечный антибиотик, типа фуразолидона, если ротавирус - хуже не будет.
1	Новости: с паксила очень хочется спать
0	Горсть флуоксетина в руку вместо завтрака. икса в
