0	olanzapine carries a warning that the drug can cause death among elderly people who have psychosis due to memory loss and confusion.
1	rt : paxil makes it nearly impossible to cry.
1	i wonder if olanzapine causes restless legs &lt;_&lt;
1	i know it made me want to be sick every time i had it plus fluoxetine is the bigges bunch of shit ive been on worse than sertraline
0	i'm on fluoxetine and it's given me an even keel. things don't seem so scary or the end of the world now.
1	trazodone was evil. turned you all flat
1	sounds like what happened to me. imuran by itself didn't quite cut it, humira did nothing, and remicade only hlpd a little
1	my body was almost descimated with crestor prescribed by doctor. unfortunately u cant trust all doctors.try red omega from drug store(cvs)
0	ha! also, knowledge of jargon ≠ purchase intent. no one's heard of sildenafil citrate, but viagra's still selling well.
1	im on the codiene lean oxy hydro pill trazodone ah man loud n moscato vision blurry still alot on deck fuck everybody im rollin
1	bought ourselves an electronic cigarette for fun and now i think we're addicted to nicotine
0	anyone taken geodon (ziprasidone) before? thoughts? x
0	baby fever is some shit. fuck them damn kids bitch i need a nuvaring
1	not sure whether tis buprenorphine or pregabalin causing itchy skin but i really need scratch mitts :-/
0	interesting. just had it checked and my synthroid was too high!
0	i think i took my metformin twice. if i go into a diabetic come, someone pour syrup down my throat.
0	popped a trazodone, i'm sleepin!
0	"""why is she so talkative, is she on paxil?"" hahahahah"
0	my diet consists of chugging a quart of miralax hours before i plan to step on the bathroom scale
1	i think it’s an snri, i’m not even sure. it’s viibryd. but none of my anti-depressants have ever messed me up like this before
1	why must lunesta make my mouth taste all bitter eww
1	vimpat gives me crazy double vision, too. that reminds me... medicine time!
0	“: this bitch literally just asked if nicotine is something you put in your eyes. ” i just can't!!
0	cs on cipla: launch of advair in eu earlier than eected
0	mt : look what the xarelto rep gave me! /perhaps eliquis will cough up a lambo!
1	nicotine withdrawals.
1	allergic reaction to . feel free to share &amp; distribute. kill before it kills us.
1	huh? i just get chronic bronchitis due to bad asthma and allergies and non advair compliance
0	time to start this project i need a adderall
1	oxycodone got me feelin' some type of way
0	yes, get me one of those lozenge-bazooka mac pro's pronto! that will help
0	totally. like paintbrush for a girl, potato for a boy, and lozenge, unisex.
0	great to know my psych is a greedy asshole. dr. wallace townsend-parchman. i'm uninsured. shove that poison saphris up yours.
0	then i think trazodone works specifically for insomnia (depression too but bleh)
0	i'm upset with someone. (not you) waiting for the quetiapine to kick in while watching qt x
0	it sure looks like buprenorphine is as dangerous a heroin. i didn't had this opinion from the beginning, but minds can be changed.
0	$bdsi biodelivery sciences to develop a long-acting injectable depot formulation of buprenorphine with evonik from our stock news alerts app
1	you prescribe me advair and it ) didn't relieve my symptoms and ) gave me hallucinations. i hope you end up broke under a bridge.
1	whoah so dizzing. damn tamazapam - shld probably wap back to quetiapine if this keeps up! but it makes me feel so ick!
0	urea breath test =taking nexium hp7 can feel it working
0	i go out walking on lunesta
0	important things about the eliquis commercial: that guy could never dunk!! x3
1	have run out of olanzapine, was tapering off anyway but this is a bit too quick-feel restless. hot bath and diazepam time
0	sad thing is.. he said that same thing nothing like a threat over a day supply of atorvastatin
0	we have imodium for diarrhoea. we have no cure for ebola. next question.
0	yes i have multiple sclerosis. i have been on copane years and have started tecfidera recently. i do very well. thanks
1	can reducing fluoxetine zap me of all energy?i've reduced from a high dose, now on standard does &amp; not feeling good at all.
0	opiates? i can't oxycodone that kind of behaviour!
0	“: depression sucks. ” cymbalta can help.
0	your woman tells you, she has a headache again - crush an aspirin, sprinkle it on your penis, give her a choice: lozenge or suppository...
1	she and i are both colon free now, so no humira or remicade! they failed miserably at helping us.
0	if you have asthma and are headed to , the also look into getting an alvesco inhaler which is just steroids. very very very helpful
1	rt : dabigatran not working in this obese pt, maybe contributing to his stroke. saved by tpa.... speechless
1	accidentally asphyxiating yourself trying to suck a throat lozenge when you have a stuffed nose.
0	miralax tastes like glue
0	hot topic on pharmacotherapy at symposium and trials on naltrene-bupropion and in progress.
1	i was on tysabri for months. i'm in the process of going to tecfedera. it is similar, i needed to get off because of veins
0	phil michelson please stop making enbrel commercials. no one likes you.
0	breathe right en el tabique. agua salina, fluticasone y afrin.
1	well, i'm now convinced humira &amp; enbrel were the culprits of my weight gain! other tnf will likely result in same. now what?
0	we can smell it here in miracle mile. i thought it was the tar pits, but i detected a hint of nicotine lozenge mint on the wind.
0	metoprolol is my new fav med
1	ventolin was pretty harsh, i remember that racing heart feeling.
1	two hours at the doctors just for them to give me zoloft and dexilant (an acid reflux medication that gave me ulcers) -___-
1	does telmisartan [e.g telma(40) without any diuretic] cause hyponatremia by any chance?
1	i took a depakote, zyprexa, tramadol, flexeril, naproxen, a gram, blunts..... and almost died.. i turned green
1	you can say that again! i trusted my doc and ended up crippled thanks to just cipro pills. going on years now.
1	can't sleep, temazepam myself into a coma, pass out for hours on end. finally wake up, feel like shite for days. oh, i love my life! :-/
0	i like the subone ad right above the first pic.
0	coping with allergies in five easy steps: fluticasone propinate, loratadine, chlorpheniramine maleate, albuterol sulfate, and phenylephrine.
0	i have heart burn from hell taken a nexium and tums and fuck
