0	@rhysdaltrey yes apixaban has applied for an european license for vte treatment &amp; secondary prevention too
0	sorry i suggested imodium for diarrhea of the mouth.
0	just want to find out on my 18th birthday i'm actually the princess of januvia 👸
0	@HrLeonidas @autommen @fakemedecine @ContactPrimum @Ascl_Pios Leur présence ne vous oblige pas à les utilisé à tort et à travers, de plus lorsque votre collègue s'étouffera sans sa ventoline sur lui vvous serait heureux d'en avoir sachant de plus la possibilité de prescription d'un médecin régulateur https://t.co/rofzuoeyPF
0	never thought i would get paid to explain the difference between oxycontin and oxycodone to a judge, but here we are.
1	@uberfacts negative. rimonabant does not cause reverse effects of marajuana, instead it causes extreme depression, anxiety, joint pains etc
0	Donc la ça fait des heures je tourne dans mon lit j’arrive pas à dormir alr que jss ko ? Ça me hasseub nishen je vais commencer vrm à acheter des somnifères ça commence à casser les couilles jv me shooter au xanax
0	@positivelad efavirenz needs banning!
0	.@norfud no. we're discerning. we don't fall for nice-sounding solutions which devastate. most "#gunsense" is like thalidomide in that way.
1	well hello 1am. thanks lunesta for not doing your one job 🌚
1	@rachel_linda_ @negativedrew pristiq somehow doesn't make me less horny, but when i gain weight it's only in gut so i can't do that
0	Le week-end est terminé. (tweet sponsorisé par Xanax)
0	more then likely better. paxil has helped me a lot
0	@soulwarden ah i see. pero yeah, we always had ventolin dati sa house. hehe
0	alright, i'm taking my haldol/trazodone cocktail, putting on another movie and heading off to dreamland. good night fuckers.
1	lunesta really does work but they make my mouth taste like hot buttered ass in the mornings.
0	@_Olbag Disons que cet argument n'est pas valable avec moi. Un Viagra et au lit. Sans manger 😘
0	MDR qui me passe un codoliprane s'il vous plaît ? Il m'a fait mal à la tête la, même un tramadol car un doliprane ça ne suffira pas du tout. Il m'a foutue une migraine des le matin, merci Twitter
1	@goebel_chris this guy i know take suboxone every time i get me some i take too much and get nauseous
1	i need to start taking my viibryd again but it makes me feel so nauseous ughhh
